date_time_(UTC)	channel	duration	https://archive.org/details/	text
2017-11-22 17:00:00	FOXNEWSW	40	FOXNEWSW_20171122_160000_Happening_Now/start/3600	RY DELIBERATING |N STEINLE MURDER TRIAL
2017-11-22 17:00:00	MSNBCW	42	MSNBCW_20171122_160000_MSNBC_Live_With_Velshi_and_Ruhle/start/3600	SEAL OF APPROVAL
2017-11-22 17:01:00	CNNW	14	CNNW_20171122_170000_Inside_Politics/start/60	l. . Rep. Gregory MeekS | (D) Congressional Black Caucus
2017-11-22 17:01:00	FOXNEWSW	11	FOXNEWSW_20171122_170000_Outnumbered/start/60	PRESIDENT TRUMP APPEARS TO THROW SUPPORT\nRY DELIBERATING |N STEINLE MURDER TRIAL
2017-11-22 17:01:00	MSNBCW	27	MSNBCW_20171122_170000_Andrea_Mitchell_Reports/start/60	ESCAPE FROM NORTH KOREA\nTRUMP BACKS MOORE IN ALABAMA SENATE RACE, POINTS TO DENIALS
2017-11-22 17:02:00	CNNW	35	CNNW_20171122_170000_Inside_Politics/start/120	TRUMP ON MOORE: \"HE TOTALLY DENIES IT\"\nTRUMP DEFENDS MOORE, DOUBTS HIS ACCUSERS
2017-11-22 17:02:00	FOXNEWSW	16	FOXNEWSW_20171122_170000_Outnumbered/start/120	'ESIDENT TRUM:P WE D'ON T NEED A LIBERAL PERSON IN\nPRESIDENT TRUMP BREAKS HIS SILENCE. I A A A I A A A A ' I A A I I '\nPRESIDENT TRUMP APPEARS TO THROW SUPPORT
2017-11-22 17:02:00	MSNBCW	18	MSNBCW_20171122_170000_Andrea_Mitchell_Reports/start/120	TRUMP BACKS MOORE IN ALABAMA SENATE RACE, POINTS TO DENIALS\nTRUMP: MOORE \"TOTALLY DENIES IT\" AND \"YOU HAVE TO LISTEN TO HIM\
2017-11-22 17:03:00	CNNW	36	CNNW_20171122_170000_Inside_Politics/start/180	TRUMP DEFENDS MOORE, DOUBTS HIS ACCUSERS. . Jeff Zeleny OW Senior White House Correspondent\nTRUMP DEFENDS MOORE, DOUBTS HIS ACCUSERS\nTRUMP ON MOORE: \"HE TOTALLY DENIES IT\
2017-11-22 17:03:00	FOXNEWSW	12	FOXNEWSW_20171122_170000_Outnumbered/start/180	ATE MAJORITY LEADER MCICONNELL & HOUSE SPEAKER RYAN\nm\u2014. JONATHAN SERRIE
