network,timestamp,text
MSNBC,10:00:30,"SOON: COMEY TESTIFIES ON FIRING, TRUMP MEETINGS"
MSNBC,10:01:30,SENATE INTEL CHIEFS MEETING COMEY AHEAD OF HEARING
FOX,10:02:00,JAMES COMEY HEARING MOMENTS AWAY
FOX,10:03:00,AWAITING TESTIMONY FROM FORMER FBI DIRECTOR
MSNBC,10:03:00,JAMES COMEY ARRIVES ON CAPITOL HILL
MSNBC,10:03:10,FIRED FBI DIRECTOR IN HOT SEAT AT SENATE HEARING
CNN,10:03:20,COMEY ARRIVES FOR SENATE TESTIMONY
CNN,10:04:40,FIRED FBI CHIEF COMEY TESTIFIES IN TRUMP/RUSSIA PROBE
FOX,10:10:30,OPENING STATEMENTS UNDERWAY IN SENATE INTEL. CMTE
CNN,10:10:40,FIRED FBI CHIEF COMEY TESTIFIES AT SENATE HEARING
MSNBC,10:14:00,"COMEY FACING GRILLING OVER RUSSIA PROBE,
CLINTON EMAIL INVESTIGATION AT SENATE HEARING"
MSNBC,10:14:30,COMEY TO OUTLINE CLOSED-DOOR MEETINGS WITH TRUMP
CNN,10:14:40,WARNER: NEVER HAD REASON TO QUESTION COMEY'S INTEGRITY
FOX,10:14:50,"SEN WARNER (D-VA): NUMEROUS TRUMP
ASSOCIATES HAD CONTACTS WITH RUSSIANS"
MSNBC,10:15:00,"COMEY FACING GRILLING OVER RUSSIA PROBE,
CLINTON EMAIL INVESTIGATION AT SENATE HEARING"
FOX,10:15:10,"SEN WARNER (D-VA): THIS IS NOT ABOUT
RE-LITIGATING THE ELECT"
FOX,10:15:30,"SEN WARNER (D-VA): WE MUST FIND OUT WHAT THE
THE RUSSIANS DID AND WHY THEY WERE SUCCESSFUL"
FOX,10:15:40,"SEN WARNER (D-VA): YOU HAVE BEEN
WILLING TO SPEAK TRUTH TO POWER"
FOX,10:16:00,OPENING STATEMENTS UNDERWAY IN SENATE INTEL. CMTE
MSNBC,10:17:10,FIRED FBI CHIEF FACING QUESTIONS AT SENATE HEARING
FOX,10:17:20,"SEN WARNER (D-VA): DIRECTOR COMEY WAS
FIRED AFTER REFUSING PRESIDENT'S REQUESTS"
FOX,10:17:40,"SEN WARNER (D-VA): COMEY DENIED THE
PRESIDENT'S IMPROPER REQUESTS"
FOX,10:18:30,OPENING STATEMENTS UNDERWAY IN SENATE INTEL. CMTE
FOX,10:19:20,FMR FBI DIRECTOR GIVES OPENING STATEMENT
MSNBC,10:19:30,COMEY DETAILING TRUMP MEETINGS AT SENATE HEARING
FOX,10:20:50,"COMEY: I WILL NOT REPEAT MY STATEMENT
THAT I HAVE SUBMITTED FOR THE RECORD"
CNN,10:21:00,"COMEY ON FIRING: ""SHIFTING EXPLANATIONS CONFUSED ME""

Says Trump admin's changing story ""increasingly concerned me"""
FOX,10:21:10,FMR FBI DIRECTOR TESTIFIES BEFORE SENATE PANEL
MSNBC,10:21:20,"COMEY: ""SHIFTING EXPLANATIONS"" FOR FIRING ""CONFUSED ME"""
CNN,10:21:40,"COMEY: TRUMP ADMIN ""CHOSE TO DEFAME ME"""
MSNBC,10:22:10,"COMEY: TRUMP ""DEFAMED FBI IN FIRING EXPLANATION"
CNN,10:22:20,FIRED FBI CHIEF COMEY TESTIFIES AT SENATE HEARING
FOX,10:22:30,FMR FBI DIRECTOR GIVES OPENING STATEMENT
