date_time_(UTC)	channel	duration	https://archive.org/details/	text
2017-10-02 00:00:00	MSNBCW	4	MSNBCW_20171001_230000_Meet_the_Press/start/3600	Fisherlnvestments.com/TV
2017-10-02 00:10:00	BBCNEWS	8	BBCNEWS_20171002_000000_Newsday/start/600	MALAYSIA TRIAL BEGINS. Two women accused of murder of Kim Jong-Nam\nJONATHAN HEAD. Bangkok
2017-10-02 00:11:00	BBCNEWS	23	BBCNEWS_20171002_000000_Newsday/start/660	f. Two accused expected to plead not guilty
2017-10-02 00:12:00	BBCNEWS	11	BBCNEWS_20171002_000000_Newsday/start/720	MALAYSIA TRIAL BEGINS. Kim was the half-brother of Nonh Korea's leader\nMALAYSIA TRIAL BEGINS. Women could face death penalty if convicted\nMALAYSIA TRIAL BEGINS. Murder sparked row between N Korea and...
2017-10-02 00:12:00	FOXNEWSW	9	FOXNEWSW_20171002_000000_OBJECTified/start/720	855-249-5611 or PODS.com
2017-10-02 00:13:00	BBCNEWS	11	BBCNEWS_20171002_000000_Newsday/start/780	MALAYSIA TRIAL BEGINS. Two women accused of murder of Kim Jong-Nam\nMALAYSIA TRIAL BEGINS. Women accused of rubbing VX nerve agent in his face\nMALAYSIA TRIAL BEGINS. Kim died about 2O minutes after the...
2017-10-02 00:13:00	CNNW	8	CNNW_20171002_000000_Anthony_Bourdain_Parts_Unknown/start/780	ExplorePartsUnknown.com
2017-10-02 00:15:00	BBCNEWS	3	BBCNEWS_20171002_000000_Newsday/start/900	But so [am hive\ufb01'i experienced any of that.. NEWSDAV immun\u2014
2017-10-02 00:16:00	BBCNEWS	9	BBCNEWS_20171002_000000_Newsday/start/960	TRUMP TWEETS
2017-10-02 00:20:00	BBCNEWS	11	BBCNEWS_20171002_000000_Newsday/start/1200	TILLERSON CHINA VISIT. Rex Tillerson held talks with President Xi Jinping\nTILLERSON CHINA VISIT. US Secretary O1 SIaIe has just returned Irom a visit to ChIna
2017-10-02 00:20:00	MSNBCW	18	MSNBCW_20171002_000000_Dateline_Extra/start/1200	hnfhfi\ufb02'nr rnm RRR-Rn7-QA
2017-10-02 00:21:00	MSNBCW	13	MSNBCW_20171002_000000_Dateline_Extra/start/1260	hafhfiH-nr rnm 229-3O7-O4
2017-10-02 00:22:00	BBCNEWS	10	BBCNEWS_20171002_000000_Newsday/start/1320	TILLERSON CHINA VISIT. US Secretary O1 State has just returned Irom a vIsII Io ChIna\nTILLERSON CHINA VISIT. Rex Tillerson held talks with President Xi Jinping\nTILLERSON CHINA VISIT. Tillerson: US has lines O1...
2017-10-02 00:23:00	BBCNEWS	11	BBCNEWS_20171002_000000_Newsday/start/1380	BBC INDIA SERVICE EXPANSION. Websites & social media platforms are now live\nBBC INDIA SERVICE EXPANSION. . New language services in Gujavati, Marathi, Punjabi (I TaIugu\nBBC INDIA SERVICE EXPANSION. Historic...
2017-10-02 00:24:00	BBCNEWS	14	BBCNEWS_20171002_000000_Newsday/start/1440	BBC INDIA SERVICE EXPANSION. Historic launch involves over 15O new staff in Delhi\nBBC INDIA SERVICE EXPANSION. Websites & social media platforms are now live\nBBC INDIA SERVICE EXPANSION. BBC launches four new local...
2017-10-02 00:24:00	FOXNEWSW	28	FOXNEWSW_20171002_000000_OBJECTified/start/1440	ATALAN OFFICIAL SAYS PRELIMINARY RESULTS SHOW. 9O% IN FAVOR OF INDEPENDENCE FROM SPAIN. . M :mc LIN\nESIDENT TRUMP TELLS REX TILLERSON HE'S \"WASTING. IS TIME\" TRYING TO NEGOTIATE WITH NORTH KOREA. . M :mc LIN
2017-10-02 00:25:00	BBCNEWS	10	BBCNEWS_20171002_000000_Newsday/start/1500	BBC INDIA SERVICE EXPANSION. New services makes Delhi largest bureau ouIside UK\nBBC INDIA SERVICE EXPANSION. BBC launches four new local services in India
2017-10-02 00:26:00	BBCNEWS	9	BBCNEWS_20171002_000000_Newsday/start/1560	DARREN BETI\u2019
2017-10-02 00:29:00	BBCNEWS	3	BBCNEWS_20171002_000000_Newsday/start/1740	NEWSDAV
2017-10-02 00:30:00	BBCNEWS	3	BBCNEWS_20171002_000000_Newsday/start/1800	NEWSDAV
2017-10-02 00:30:00	MSNBCW	10	MSNBCW_20171002_000000_Dateline_Extra/start/1800	MRI, \\ MemberAdvantages. . AARPadvanIage
2017-10-02 00:32:00	BBCNEWS	10	BBCNEWS_20171002_003000_Asia_Business_Report/start/120	Hastings: Every part of government has to make its own money\nHastings: Everything is up {or sale in North Korea\nNorth Korea's economy expemed to have gvown 3.9% in 2O16\nThe University O1 Sydney
2017-10-02 00:32:00	MSNBCW	7	MSNBCW_20171002_000000_Dateline_Extra/start/1920	PRESIDENT TRUMP DEDICATES GOLF TROPHY TO. HIIDDICANF VICTIMS Houps Al-'I'FP RI ASTING CDITICS\nNorCalHondaDealers.com\noptions and insurance). Actual net capitalized cost $17,1OO.
2017-10-02 00:33:00	CNNW	7	CNNW_20171002_000000_Anthony_Bourdain_Parts_Unknown/start/1980	Visit your local Acuro Dealer
2017-10-02 00:33:00	MSNBCW	11	MSNBCW_20171002_000000_Dateline_Extra/start/1980	CATALONIA VOTES 9O% TO BECOME. INDFDFNDFNT FROM SPAIN
2017-10-02 00:34:00	BBCNEWS	9	BBCNEWS_20171002_003000_Asia_Business_Report/start/240	Hastings: Everything is up {or sale in North Korea
2017-10-02 00:36:00	CNNW	7	CNNW_20171002_000000_Anthony_Bourdain_Parts_Unknown/start/2160	1-8OO-831-37OO mesobook.com. . Mesothelioma Book
2017-10-02 00:36:00	FOXNEWSW	3	FOXNEWSW_20171002_000000_OBJECTified/start/2160	. The most common side e\ufb02ecl is low blood sugar.. Tn: nnn
2017-10-02 00:37:00	CNNW	9	CNNW_20171002_000000_Anthony_Bourdain_Parts_Unknown/start/2220	#PartsUnknown
2017-10-02 00:38:00	BBCNEWS	20	BBCNEWS_20171002_003000_Asia_Business_Report/start/480	Thai Prime Minister in US on Monday\nChief Execulwe. XM.com
2017-10-02 00:41:00	BBCNEWS	22	BBCNEWS_20171002_003000_Asia_Business_Report/start/660	TRUMP TWEET ATTACK
2017-10-02 00:44:00	BBCNEWS	8	BBCNEWS_20171002_003000_Asia_Business_Report/start/840	@ BabltaBBC\nGAVAN CONLON. London Economics
2017-10-02 00:46:00	BBCNEWS	16	BBCNEWS_20171002_004500_Sport_Today/start/60	k\\svom Tow\\
2017-10-02 00:48:00	BBCNEWS	23	BBCNEWS_20171002_004500_Sport_Today/start/180	A! spam Tow\\\nARSENAL 2-O BRIGHTON. Monreal & Iwobi score for Arsenal\nREAL MADRID 2-O ESPANYOL. Win leaves Real 7 points behind Barcelona
2017-10-02 00:49:00	BBCNEWS	9	BBCNEWS_20171002_004500_Sport_Today/start/240	EVERTON O-1 BURNLEV. Je\ufb02 Hendrick's goal adds pressuve on Ronald Koeman\nNEWCASTLE 1-1 LIVERPOOL. Liverpool held after missing lots of chances\nARSENAL 2-O BRIGHTON. Monreal & Iwobi score for Arsenal
2017-10-02 00:51:00	BBCNEWS	4	BBCNEWS_20171002_004500_Sport_Today/start/360	FRE1BURGS-2HOFFENHEIM. Holfenheim lose their unbeaten vun
2017-10-02 00:52:00	BBCNEWS	12	BBCNEWS_20171002_004500_Sport_Today/start/420	NICK PARROTT. reponing
2017-10-02 00:53:00	FOXNEWSW	7	FOXNEWSW_20171002_000000_OBJECTified/start/3180	II.IL \u201dA..- IAAAI AA\u201d... nAAIA.'
2017-10-02 00:54:00	BBCNEWS	10	BBCNEWS_20171002_004500_Sport_Today/start/540	BBC Sport website bbc.com/spon. Twitter @bbcspon\nPAUL DUNNE WINS BRITISH MASTERS. Irishman wins first European Tour title
2017-10-02 00:55:00	BBCNEWS	7	BBCNEWS_20171002_004500_Sport_Today/start/600	DARREN BETI\u2019
2017-10-02 00:55:00	CNNW	13	CNNW_20171002_005500_	bathfitter.com 888-6O7-9459\n888-6O7-9459. . bathfitter.com
2017-10-02 00:55:00	FOXNEWSW	11	FOXNEWSW_20171002_000000_OBJECTified/start/3300	|.8OO.455.CARE
2017-10-02 00:56:00	CNNW	18	CNNW_20171002_000000_Anthony_Bourdain_Parts_Unknown/start/3360	#PartsUnknown i '\n1-8OO-831-37OO mesobook.com. . Mesothelioma Book
2017-10-02 01:00:00	BBCNEWS	23	BBCNEWS_20171002_004500_Sport_Today/start/900	TURBULENCE FOR MONARCH AIRLINES\nCATALAN REFERENDUM
2017-10-02 01:01:00	FOXNEWSW	7	FOXNEWSW_20171002_010000_The_Next_Revolution_With_Steve_Hilton/start/60	. BIG BUSINESS UNDER FIRE\nSTEVE HILTON. . m .
