date_time_(UTC)	channel	duration	https://archive.org/details/	text
2017-10-30 00:00:00	CNNW	21	CNNW_20171029_230000_CNN_Newsroom_With_Ana_Cabrera/start/3600	FIRST ARREST IN MUELLER PROBE COULD COME MONDAY\nTRUMP BLASTS \"RUSSIA TALK\" AS MUELLER CHARGES LOOM\nAna Cabrera. @AnaCabrera
2017-10-30 00:01:00	CNNW	24	CNNW_20171030_000000_CNN_Newsroom_With_Ana_Cabrera/start/60	FEDERAL GRAND JURY APPROVES FIRST CHARGES IN MUELLER PROBE. . Sources: Anyone charged could be arrested as soon as Monday\nWH LAWYER: TRUMP'S TWEETS UNRELATED TO MUELLER PROBE\nFEDERAL GRAND JURY APPROVES FIRST CHARGES IN MUELLER PROBE. . Shimon Prokupecz OW...
2017-10-30 00:02:00	CNNW	41	CNNW_20171030_000000_CNN_Newsroom_With_Ana_Cabrera/start/120	FIRST ARREST IN MUELLER PROBE COULD COME MONDAY. . Shimon Prokupecz OW Crime and Justice Reporter\nFIRST ARREST IN MUELLER PROBE COULD COME MONDAY
2017-10-30 00:02:00	MSNBCW	39	MSNBCW_20171029_230000_Kasie_DC/start/3720	NBC SOURCES: ROBERT MUELLER'S OFFICE. WILL ISSUE FIRST INDICTMENT MONDAY
2017-10-30 00:04:00	CNNW	25	CNNW_20171030_000000_CNN_Newsroom_With_Ana_Cabrera/start/240	FIRST ARREST IN MUELLER PROBE COULD COME MONDAY. . April Ryan White House Correspondent, American Urban Radio Networks\nFOX NEWS HOST CALLS FOR CLINTON TO BE IMPRISONED\nFIRST ARREST IN MUELLER PROBE COULD COME MONDAY
2017-10-30 00:04:00	MSNBCW	21	MSNBCW_20171029_230000_Kasie_DC/start/3840	NBC SOURCES: ROBERT MUELLER'S OFFICE. WILL ISSUE FIRST INDICTMENT MONDAY\nl - - WHITE HOUSE SPECIAL COUNJ
2017-10-30 00:05:00	CNNW	23	CNNW_20171030_000000_CNN_Newsroom_With_Ana_Cabrera/start/300	FOX NEWS HOST CALLS FOR CLINTON TO BE IMPRISONED\nPRESIDENT'S APPROVAL RATING DROPS TO HISTORIC LOW. . Patrick Healy Editor, New York Times\nPRESIDENT'S APPROVAL RATING DROPS TO...
2017-10-30 00:06:00	CNNW	62	CNNW_20171030_000000_CNN_Newsroom_With_Ana_Cabrera/start/360	PRESIDENT'S APPROVAL RATING DROPS TO HISTORIC LOW. . Patrick Healy Editor, New York Times
2017-10-30 00:06:00	MSNBCW	9	MSNBCW_20171029_230000_Kasie_DC/start/3960	(WI? NBC SOURCES: ROBERT MUELLER'S OFFICE. ; WILL ISSUE FIRST INDICTMENT MONDAY
2017-10-30 00:07:00	CNNW	25	CNNW_20171030_000000_CNN_Newsroom_With_Ana_Cabrera/start/420	MUELLER FACING NEW REPUBLICAN PRESSURE TO RESIGN. . April Ryan White House Correspondent, American Urban Radio Networks\nMUELLER FACING NEW REPUBLICAN PRESSURE TO RESIGN\nPRESIDENT'S APPROVAL RATING DROPS TO HISTORIC LOW. . Patrick Healy Editor. New York...
